ID,Timestamp,Output,Cluster,a,b,sigma,ID_dataset
1,0.35000000000000003,16.732422135303644,K2,4.03,1.1,0.61,1
1,0.45,16.616900502054662,K2,4.03,1.1,0.61,1
1,0.8,19.533623285441735,K2,4.03,1.1,0.61,1
1,0.9,20.22357456693817,K2,4.03,1.1,0.61,1
1,1.9000000000000001,25.737971124317376,K2,4.03,1.1,0.61,1
1,2.6,29.31610818546511,K2,4.03,1.1,0.61,1
1,2.75,29.34524348807867,K2,4.03,1.1,0.61,1
1,3.8000000000000003,30.824574379778042,K2,4.03,1.1,0.61,1
1,3.95,30.821409767424765,K2,4.03,1.1,0.61,1
1,4.3,29.82553387347365,K2,4.03,1.1,0.61,1
1,4.3500000000000005,29.78140918209363,K2,4.03,1.1,0.61,1
1,4.55,29.34769589282236,K2,4.03,1.1,0.61,1
1,5.050000000000001,29.583442481730337,K2,4.03,1.1,0.61,1
1,5.300000000000001,29.61425636269364,K2,4.03,1.1,0.61,1
1,5.3500000000000005,29.497022902920655,K2,4.03,1.1,0.61,1
1,5.800000000000001,30.049444986775306,K2,4.03,1.1,0.61,1
1,5.8500000000000005,30.92925316243558,K2,4.03,1.1,0.61,1
1,5.95,30.316007830387864,K2,4.03,1.1,0.61,1
1,7.300000000000001,40.72670912966844,K2,4.03,1.1,0.61,1
1,7.3500000000000005,41.20026748676132,K2,4.03,1.1,0.61,1
1,7.5,44.1516469743335,K2,4.03,1.1,0.61,1
1,8,46.275863900796175,K2,4.03,1.1,0.61,1
1,8.200000000000001,49.421932411579604,K2,4.03,1.1,0.61,1
1,8.3,50.05665885325502,K2,4.03,1.1,0.61,1
1,8.35,49.654707516853996,K2,4.03,1.1,0.61,1
1,8.85,52.69301336725654,K2,4.03,1.1,0.61,1
1,9.35,53.46515666145153,K2,4.03,1.1,0.61,1
1,9.4,53.54763532226255,K2,4.03,1.1,0.61,1
1,9.8,54.16984318543144,K2,4.03,1.1,0.61,1
1,9.850000000000001,54.056581542706354,K2,4.03,1.1,0.61,1
2,0.05,17.62820929551421,K3,4.03,1.1,0.61,1
2,0.75,19.565504962948676,K3,4.03,1.1,0.61,1
2,1.6,16.917793656539732,K3,4.03,1.1,0.61,1
2,2.95,8.95703739306296,K3,4.03,1.1,0.61,1
2,3.5,6.226304083451097,K3,4.03,1.1,0.61,1
2,3.5500000000000003,5.797639467954534,K3,4.03,1.1,0.61,1
2,3.6,5.5792501226457265,K3,4.03,1.1,0.61,1
2,3.6500000000000004,5.052478630495671,K3,4.03,1.1,0.61,1
2,4.2,3.2980157277682345,K3,4.03,1.1,0.61,1
2,4.55,4.159698397069725,K3,4.03,1.1,0.61,1
2,4.6000000000000005,3.3007808385364896,K3,4.03,1.1,0.61,1
2,4.7,2.9956289276833417,K3,4.03,1.1,0.61,1
2,5,3.8478208257019197,K3,4.03,1.1,0.61,1
2,5.4,4.366841094550768,K3,4.03,1.1,0.61,1
2,5.9,4.31437225510016,K3,4.03,1.1,0.61,1
2,6.2,5.674398891507433,K3,4.03,1.1,0.61,1
2,6.25,5.959078274579445,K3,4.03,1.1,0.61,1
2,6.3500000000000005,6.022047464585768,K3,4.03,1.1,0.61,1
2,6.65,5.843068157783446,K3,4.03,1.1,0.61,1
2,7.2,4.051562236996883,K3,4.03,1.1,0.61,1
2,7.25,4.370723832005135,K3,4.03,1.1,0.61,1
2,7.5,3.5504257216331663,K3,4.03,1.1,0.61,1
2,7.7,3.5830947568034297,K3,4.03,1.1,0.61,1
2,7.9,3.2129441420002447,K3,4.03,1.1,0.61,1
2,8.5,4.639056140779708,K3,4.03,1.1,0.61,1
2,8.85,7.562226317447959,K3,4.03,1.1,0.61,1
2,9.200000000000001,9.47989602805124,K3,4.03,1.1,0.61,1
2,9.35,10.662083400297453,K3,4.03,1.1,0.61,1
2,9.8,15.463257321861137,K3,4.03,1.1,0.61,1
2,9.9,15.129890510715354,K3,4.03,1.1,0.61,1
3,0.65,25.32362781828121,K1,4.03,1.1,0.61,1
3,0.9,25.57303698373267,K1,4.03,1.1,0.61,1
3,1.7000000000000002,29.22062561975434,K1,4.03,1.1,0.61,1
3,1.75,30.632810834088108,K1,4.03,1.1,0.61,1
3,2.0500000000000003,32.197410417100734,K1,4.03,1.1,0.61,1
3,2.25,33.44719250985865,K1,4.03,1.1,0.61,1
3,2.4000000000000004,35.17866495268825,K1,4.03,1.1,0.61,1
3,2.8000000000000003,38.260082391165554,K1,4.03,1.1,0.61,1
3,3.4000000000000004,37.239409389400734,K1,4.03,1.1,0.61,1
3,4,34.34330357723479,K1,4.03,1.1,0.61,1
3,4.15,34.11720811228891,K1,4.03,1.1,0.61,1
3,4.3500000000000005,31.497795531292134,K1,4.03,1.1,0.61,1
3,5.050000000000001,24.371378584720965,K1,4.03,1.1,0.61,1
3,5.1000000000000005,24.38353596409626,K1,4.03,1.1,0.61,1
3,5.25,23.414575212841697,K1,4.03,1.1,0.61,1
3,5.4,22.306977028698252,K1,4.03,1.1,0.61,1
3,6.8500000000000005,12.0257737327948,K1,4.03,1.1,0.61,1
