ID,Timestamp,Output,Cluster,a,b,sigma,ID_dataset
1,0.30000000000000004,22.41930159424556,K2,0.44,0.58,0.03,1
1,0.4,22.450635027090186,K2,0.44,0.58,0.03,1
1,0.55,22.48368467783144,K2,0.44,0.58,0.03,1
1,0.7000000000000001,22.542753345739126,K2,0.44,0.58,0.03,1
1,0.8,22.68643070666407,K2,0.44,0.58,0.03,1
1,0.9,22.65262389842827,K2,0.44,0.58,0.03,1
1,1.25,22.835352592842646,K2,0.44,0.58,0.03,1
1,1.6,22.988240612570063,K2,0.44,0.58,0.03,1
1,1.8,23.225479938774324,K2,0.44,0.58,0.03,1
1,2,23.46490451957432,K2,0.44,0.58,0.03,1
1,2.2,23.820029755655348,K2,0.44,0.58,0.03,1
1,2.45,24.376734713735505,K2,0.44,0.58,0.03,1
1,2.9000000000000004,25.769107589016507,K2,0.44,0.58,0.03,1
1,3.2,26.882508941843014,K2,0.44,0.58,0.03,1
1,3.6,28.339868245918538,K2,0.44,0.58,0.03,1
1,3.75,28.819486501066272,K2,0.44,0.58,0.03,1
1,4.5,30.78969491722963,K2,0.44,0.58,0.03,1
1,4.75,31.251421588856505,K2,0.44,0.58,0.03,1
1,4.95,31.667948781637083,K2,0.44,0.58,0.03,1
1,5.1000000000000005,31.862916693854608,K2,0.44,0.58,0.03,1
1,5.6000000000000005,32.589015853020385,K2,0.44,0.58,0.03,1
1,5.9,32.960256440393856,K2,0.44,0.58,0.03,1
1,6.15,33.126186530533765,K2,0.44,0.58,0.03,1
1,8,34.647829928749864,K2,0.44,0.58,0.03,1
1,8.15,34.77323249960549,K2,0.44,0.58,0.03,1
1,8.200000000000001,34.92831813974256,K2,0.44,0.58,0.03,1
1,8.25,34.95695744699825,K2,0.44,0.58,0.03,1
1,9.3,37.30609346578916,K2,0.44,0.58,0.03,1
1,9.5,37.95197372767785,K2,0.44,0.58,0.03,1
1,10,39.720157945145964,K2,0.44,0.58,0.03,1
2,0.30000000000000004,17.49631655437297,K3,0.44,0.58,0.03,1
2,0.4,17.624215641066648,K3,0.44,0.58,0.03,1
2,0.55,17.855492048563946,K3,0.44,0.58,0.03,1
2,0.7000000000000001,18.17961331888146,K3,0.44,0.58,0.03,1
2,0.8,18.34132896526651,K3,0.44,0.58,0.03,1
2,0.9,18.596740282184182,K3,0.44,0.58,0.03,1
2,1.25,19.556886563206966,K3,0.44,0.58,0.03,1
2,1.6,20.723862299607198,K3,0.44,0.58,0.03,1
2,1.8,21.404786946349393,K3,0.44,0.58,0.03,1
2,2,22.064494078945643,K3,0.44,0.58,0.03,1
2,2.2,22.721734889736794,K3,0.44,0.58,0.03,1
2,2.45,23.657860997130747,K3,0.44,0.58,0.03,1
2,2.9000000000000004,24.980121521589652,K3,0.44,0.58,0.03,1
2,3.2,25.498989949077806,K3,0.44,0.58,0.03,1
2,3.6,25.4831470150201,K3,0.44,0.58,0.03,1
