ID,Timestamp,Output,Cluster,a,b,sigma,ID_dataset
1,0.35000000000000003,19.78814156500392,K3,0.21,1.29,0.6,1
1,0.45,19.42672696531679,K3,0.21,1.29,0.6,1
1,0.8,19.186159415677963,K3,0.21,1.29,0.6,1
1,0.9,19.890859384028953,K3,0.21,1.29,0.6,1
1,1.9000000000000001,20.62835739698304,K3,0.21,1.29,0.6,1
1,2.6,19.787450004358156,K3,0.21,1.29,0.6,1
1,2.75,20.212139862615324,K3,0.21,1.29,0.6,1
1,3.3000000000000003,19.37134770039346,K3,0.21,1.29,0.6,1
1,3.8000000000000003,19.729333846907686,K3,0.21,1.29,0.6,1
1,3.95,19.925596435546755,K3,0.21,1.29,0.6,1
1,4.3,19.711201659914366,K3,0.21,1.29,0.6,1
1,4.3500000000000005,19.8015693596536,K3,0.21,1.29,0.6,1
1,4.55,19.938585874900618,K3,0.21,1.29,0.6,1
1,4.8500000000000005,21.09143455503567,K3,0.21,1.29,0.6,1
1,5.050000000000001,21.404422077952,K3,0.21,1.29,0.6,1
1,5.3500000000000005,21.714676184910022,K3,0.21,1.29,0.6,1
1,5.800000000000001,21.714851663498813,K3,0.21,1.29,0.6,1
1,5.8500000000000005,22.42269976950399,K3,0.21,1.29,0.6,1
1,5.95,21.441047540972338,K3,0.21,1.29,0.6,1
1,7.300000000000001,19.057658172886743,K3,0.21,1.29,0.6,1
1,7.3500000000000005,18.87783820223662,K3,0.21,1.29,0.6,1
1,7.5,19.829975670622513,K3,0.21,1.29,0.6,1
1,8,15.613947666120772,K3,0.21,1.29,0.6,1
1,8.3,16.076018698980207,K3,0.21,1.29,0.6,1
1,8.35,15.838592833047642,K3,0.21,1.29,0.6,1
1,8.85,13.686228033245941,K3,0.21,1.29,0.6,1
1,9.35,13.356491593889723,K3,0.21,1.29,0.6,1
1,9.4,12.707708214637874,K3,0.21,1.29,0.6,1
1,9.700000000000001,12.682782481638464,K3,0.21,1.29,0.6,1
1,9.75,13.085581213199305,K3,0.21,1.29,0.6,1
2,0.35000000000000003,21.8390777239657,K2,2.59,0.55,0.89,1
2,0.45,21.83387487438229,K2,2.59,0.55,0.89,1
2,0.8,23.93531897744884,K2,2.59,0.55,0.89,1
2,0.9,23.35263225843949,K2,2.59,0.55,0.89,1
2,1.9000000000000001,26.591047002336072,K2,2.59,0.55,0.89,1
2,2.6,30.486236733832026,K2,2.59,0.55,0.89,1
2,2.75,29.85758899783204,K2,2.59,0.55,0.89,1
2,3.3000000000000003,29.573232674239065,K2,2.59,0.55,0.89,1
2,3.8000000000000003,30.19734813058306,K2,2.59,0.55,0.89,1
2,3.95,29.4774318730663,K2,2.59,0.55,0.89,1
2,4.3,29.629503753986434,K2,2.59,0.55,0.89,1
2,4.3500000000000005,30.36868060288164,K2,2.59,0.55,0.89,1
2,4.55,28.551423873061353,K2,2.59,0.55,0.89,1
2,4.8500000000000005,28.378456115547305,K2,2.59,0.55,0.89,1
2,5.050000000000001,28.244405469447685,K2,2.59,0.55,0.89,1
2,5.3500000000000005,26.80136785337246,K2,2.59,0.55,0.89,1
2,5.800000000000001,25.64686471221318,K2,2.59,0.55,0.89,1
2,5.8500000000000005,27.013412235537885,K2,2.59,0.55,0.89,1
2,5.95,26.57460191707691,K2,2.59,0.55,0.89,1
2,7.300000000000001,34.464557872079624,K2,2.59,0.55,0.89,1
2,7.3500000000000005,33.90333892718961,K2,2.59,0.55,0.89,1
2,7.5,34.85611725829402,K2,2.59,0.55,0.89,1
2,8,37.29748086283115,K2,2.59,0.55,0.89,1
2,8.3,40.22897925223614,K2,2.59,0.55,0.89,1
2,8.35,42.005614828125395,K2,2.59,0.55,0.89,1
2,8.85,45.94313077044031,K2,2.59,0.55,0.89,1
2,9.35,50.03827204437091,K2,2.59,0.55,0.89,1
2,9.4,49.76638377819923,K2,2.59,0.55,0.89,1
2,9.700000000000001,55.25757647370472,K2,2.59,0.55,0.89,1
2,9.75,54.71144199286913,K2,2.59,0.55,0.89,1
3,0.35000000000000003,30.88647070089475,K1,0.97,1.46,0.54,1
3,0.45,30.05160758211429,K1,0.97,1.46,0.54,1
3,0.8,28.59862998700423,K1,0.97,1.46,0.54,1
3,0.9,27.424337835801754,K1,0.97,1.46,0.54,1
3,1.9000000000000001,24.045517629122838,K1,0.97,1.46,0.54,1
3,2.6,21.567777794586064,K1,0.97,1.46,0.54,1
3,2.75,22.959323909730248,K1,0.97,1.46,0.54,1
3,3.3000000000000003,21.482491366517465,K1,0.97,1.46,0.54,1
3,3.8000000000000003,21.07346261555444,K1,0.97,1.46,0.54,1
3,3.95,20.47287569735485,K1,0.97,1.46,0.54,1
3,4.3,20.00876904765421,K1,0.97,1.46,0.54,1
3,4.3500000000000005,19.45521592884074,K1,0.97,1.46,0.54,1
3,4.55,18.632769599628013,K1,0.97,1.46,0.54,1
3,4.8500000000000005,17.379171691486484,K1,0.97,1.46,0.54,1
3,5.050000000000001,16.83893987819029,K1,0.97,1.46,0.54,1
3,5.3500000000000005,14.929412714788766,K1,0.97,1.46,0.54,1
3,5.800000000000001,15.007369482935147,K1,0.97,1.46,0.54,1
3,5.8500000000000005,14.291756209296272,K1,0.97,1.46,0.54,1
3,5.95,14.550655955507354,K1,0.97,1.46,0.54,1
3,7.300000000000001,15.522061863857406,K1,0.97,1.46,0.54,1
3,7.3500000000000005,13.965194131944182,K1,0.97,1.46,0.54,1
3,7.5,15.3924124547157,K1,0.97,1.46,0.54,1
3,8,16.769910955940745,K1,0.97,1.46,0.54,1
3,8.3,17.2789597842288,K1,0.97,1.46,0.54,1
3,8.35,17.182400845163432,K1,0.97,1.46,0.54,1
3,8.85,19.032308036044853,K1,0.97,1.46,0.54,1
3,9.35,18.78488022180461,K1,0.97,1.46,0.54,1
3,9.4,18.736030044116234,K1,0.97,1.46,0.54,1
3,9.700000000000001,19.69390936840152,K1,0.97,1.46,0.54,1
3,9.75,19.7868741903581,K1,0.97,1.46,0.54,1
4,0.35000000000000003,12.484936465476311,K2,4.41,1.26,1.73,1
4,0.45,12.082765151966782,K2,4.41,1.26,1.73,1
4,0.8,16.53460459550127,K2,4.41,1.26,1.73,1
4,0.9,10.617635289490533,K2,4.41,1.26,1.73,1
4,1.9000000000000001,16.189608196018995,K2,4.41,1.26,1.73,1
4,2.6,21.460439057179208,K2,4.41,1.26,1.73,1
4,2.75,19.557136544166937,K2,4.41,1.26,1.73,1
4,3.3000000000000003,26.081407394129734,K2,4.41,1.26,1.73,1
4,3.8000000000000003,28.475958073088606,K2,4.41,1.26,1.73,1
4,3.95,30.170314144520212,K2,4.41,1.26,1.73,1
4,4.3,32.80513274526996,K2,4.41,1.26,1.73,1
4,4.3500000000000005,36.22172142838336,K2,4.41,1.26,1.73,1
4,4.55,35.97617286786645,K2,4.41,1.26,1.73,1
