ID,Timestamp,Output,Cluster,a,b,sigma,ID_dataset
K1,0,48.37271903839192,K1,4.51,0.63,0,1
K1,0.05,48.16003456408873,K1,4.51,0.63,0,1
K1,0.1,47.893034852815546,K1,4.51,0.63,0,1
K1,0.15000000000000002,47.57171534856025,K1,4.51,0.63,0,1
K1,0.2,47.19631546541146,K1,4.51,0.63,0,1
K1,0.25,46.76732305890653,K1,4.51,0.63,0,1
K1,0.30000000000000004,46.28547234526422,K1,4.51,0.63,0,1
K1,0.35000000000000003,45.751752535171995,K1,4.51,0.63,0,1
K1,0.4,45.16740269831759,K1,4.51,0.63,0,1
K1,0.45,44.533912012448454,K1,4.51,0.63,0,1
K1,0.5,43.85302339385462,K1,4.51,0.63,0,1
K1,0.55,43.12672062871677,K1,4.51,0.63,0,1
K1,0.6000000000000001,42.35723311294227,K1,4.51,0.63,0,1
K1,0.65,41.547023871037936,K1,4.51,0.63,0,1
K1,0.7000000000000001,40.698781795528916,K1,4.51,0.63,0,1
K1,0.75,39.81541976507708,K1,4.51,0.63,0,1
K1,0.8,38.90005470311152,K1,4.51,0.63,0,1
K1,0.8500000000000001,37.956003866658484,K1,4.51,0.63,0,1
K1,0.9,36.98676625803563,K1,4.51,0.63,0,1
K1,0.9500000000000001,35.99601467531376,K1,4.51,0.63,0,1
K1,1,34.98757236449485,K1,4.51,0.63,0,1
K1,1.05,33.96540108765754,K1,4.51,0.63,0,1
K1,1.1,32.93358134160009,K1,4.51,0.63,0,1
K1,1.1500000000000001,31.89629214784093,K1,4.51,0.63,0,1
K1,1.2000000000000002,30.857790706024275,K1,4.51,0.63,0,1
K1,1.25,29.822388926651623,K1,4.51,0.63,0,1
K1,1.3,28.794432092475027,K1,4.51,0.63,0,1
K1,1.35,27.778272313756577,K1,4.51,0.63,0,1
K1,1.4000000000000001,26.7782468908713,K1,4.51,0.63,0,1
K1,1.4500000000000002,25.798647831222297,K1,4.51,0.63,0,1
K1,1.5,24.84369782445258,K1,4.51,0.63,0,1
K1,1.55,23.9175237543559,K1,4.51,0.63,0,1
K1,1.6,23.0241287063158,K1,4.51,0.63,0,1
K1,1.6500000000000001,22.16736391112716,K1,4.51,0.63,0,1
K1,1.7000000000000002,21.35090328701566,K1,4.51,0.63,0,1
K1,1.75,20.578215940950322,K1,4.51,0.63,0,1
K1,1.8,19.85254002409709,K1,4.51,0.63,0,1
K1,1.85,19.176858660375775,K1,4.51,0.63,0,1
K1,1.9000000000000001,18.55387554276735,K1,4.51,0.63,0,1
K1,1.9500000000000002,17.98599133177973,K1,4.51,0.63,0,1
K1,2,17.475287096689016,K1,4.51,0.63,0,1
K1,2.0500000000000003,17.023501240266548,K1,4.51,0.63,0,1
K1,2.1,16.63201581401762,K1,4.51,0.63,0,1
K1,2.15,16.30184386853469,K1,4.51,0.63,0,1
K1,2.2,16.033615537743287,K1,4.51,0.63,0,1
K1,2.25,15.827572704100424,K1,4.51,0.63,0,1
K1,2.3000000000000003,15.683562880999258,K1,4.51,0.63,0,1
K1,2.35,15.601039846271199,K1,4.51,0.63,0,1
K1,2.4000000000000004,15.579061751373747,K1,4.51,0.63,0,1
K1,2.45,15.61630121276205,K1,4.51,0.63,0,1
K1,2.5,15.711051488517917,K1,4.51,0.63,0,1
K1,2.5500000000000003,15.861241276641117,K1,4.51,0.63,0,1
K1,2.6,16.06444832082775,K1,4.51,0.63,0,1
K1,2.6500000000000004,16.317920438751308,K1,4.51,0.63,0,1
K1,2.7,16.61860038961275,K1,4.51,0.63,0,1
K1,2.75,16.963147825188848,K1,4.51,0.63,0,1
K1,2.8000000000000003,17.3479725861159,K1,4.51,0.63,0,1
K1,2.85,17.769262930408992,K1,4.51,0.63,0,1
K1,2.9000000000000004,18.223022325088884,K1,4.51,0.63,0,1
K1,2.95,18.7051037761673,K1,4.51,0.63,0,1
K1,3,19.21124822062802,K1,4.51,0.63,0,1
K1,3.0500000000000003,19.737124503429353,K1,4.51,0.63,0,1
K1,3.1,20.278367622981364,K1,4.51,0.63,0,1
K1,3.1500000000000004,20.830621380521983,K1,4.51,0.63,0,1
K1,3.2,21.38957764342959,K1,4.51,0.63,0,1
