ID,Timestamp,Output,Cluster,a,b,sigma,ID_dataset
K1,0,21.88769307170346,K1,3.73,1.08,0,1
K1,0.05,21.994131699736375,K1,3.73,1.08,0,1
K1,0.1,22.088859322961422,K1,3.73,1.08,0,1
K1,0.15000000000000002,22.1717094868199,K1,3.73,1.08,0,1
K1,0.2,22.242611473251667,K1,3.73,1.08,0,1
K1,0.25,22.301601693019826,K1,3.73,1.08,0,1
K1,0.30000000000000004,22.34882952575388,K1,3.73,1.08,0,1
K1,0.35000000000000003,22.38454877926126,K1,3.73,1.08,0,1
K1,0.4,22.40912712602291,K1,3.73,1.08,0,1
K1,0.45,22.423044392588885,K1,3.73,1.08,0,1
K1,0.5,22.42688363680036,K1,3.73,1.08,0,1
K1,0.55,22.421337964199616,K1,3.73,1.08,0,1
K1,0.6000000000000001,22.40720161331979,K1,3.73,1.08,0,1
K1,0.65,22.385363910509106,K1,3.73,1.08,0,1
K1,0.7000000000000001,22.35680935109961,K1,3.73,1.08,0,1
K1,0.75,22.322603513626724,K1,3.73,1.08,0,1
K1,0.8,22.283890674731353,K1,3.73,1.08,0,1
K1,0.8500000000000001,22.24188277897356,K1,3.73,1.08,0,1
K1,0.9,22.197850064989,K1,3.73,1.08,0,1
K1,0.9500000000000001,22.153113323838667,K1,3.73,1.08,0,1
K1,1,22.109031788928288,K1,3.73,1.08,0,1
K1,1.05,22.066990597386386,K1,3.73,1.08,0,1
K1,1.1,22.028392927528653,K1,3.73,1.08,0,1
K1,1.1500000000000001,21.994646642391423,K1,3.73,1.08,0,1
K1,1.2000000000000002,21.967151075469726,K1,3.73,1.08,0,1
K1,1.25,21.947290310251145,K1,3.73,1.08,0,1
K1,1.3,21.936413945746725,K1,3.73,1.08,0,1
K1,1.35,21.935832069065718,K1,3.73,1.08,0,1
K1,1.4000000000000001,21.946802044382334,K1,3.73,1.08,0,1
K1,1.4500000000000002,21.970517105299184,K1,3.73,1.08,0,1
K1,1.5,22.00809818336252,K1,3.73,1.08,0,1
K1,1.55,22.06058170704629,K1,3.73,1.08,0,1
K1,1.6,22.12891416632938,K1,3.73,1.08,0,1
K1,1.6500000000000001,22.213942318053274,K1,3.73,1.08,0,1
K1,1.7000000000000002,22.31640492998352,K1,3.73,1.08,0,1
K1,1.75,22.436929995592443,K1,3.73,1.08,0,1
K1,1.8,22.57602744639665,K1,3.73,1.08,0,1
K1,1.85,22.73408590179342,K1,3.73,1.08,0,1
K1,1.9000000000000001,22.911369234819446,K1,3.73,1.08,0,1
K1,1.9500000000000002,23.108016614025367,K1,3.73,1.08,0,1
K1,2,23.32403853573147,K1,3.73,1.08,0,1
K1,2.0500000000000003,23.55932161894649,K1,3.73,1.08,0,1
K1,2.1,23.813626007941032,K1,3.73,1.08,0,1
K1,2.15,24.08658945973134,K1,3.73,1.08,0,1
K1,2.2,24.377734350271737,K1,3.73,1.08,0,1
K1,2.25,24.686466354274962,K1,3.73,1.08,0,1
K1,2.3000000000000003,25.012083675804156,K1,3.73,1.08,0,1
K1,2.35,25.353783477713748,K1,3.73,1.08,0,1
K1,2.4000000000000004,25.71066758169947,K1,3.73,1.08,0,1
K1,2.45,26.081751276051452,K1,3.73,1.08,0,1
K1,2.5,26.465971761856967,K1,3.73,1.08,0,1
K1,2.5500000000000003,26.8621964315739,K1,3.73,1.08,0,1
K1,2.6,27.26923379539589,K1,3.73,1.08,0,1
K1,2.6500000000000004,27.68583929371516,K1,3.73,1.08,0,1
K1,2.7,28.110731483591472,K1,3.73,1.08,0,1
K1,2.75,28.54259602451315,K1,3.73,1.08,0,1
K1,2.8000000000000003,28.980099421401793,K1,3.73,1.08,0,1
K1,2.85,29.421896427954266,K1,3.73,1.08,0,1
K1,2.9000000000000004,29.866642683214558,K1,3.73,1.08,0,1
K1,2.95,30.31300027875331,K1,3.73,1.08,0,1
K1,3,30.759651161177523,K1,3.73,1.08,0,1
K1,3.0500000000000003,31.20530302618817,K1,3.73,1.08,0,1
K1,3.1,31.648697251438556,K1,3.73,1.08,0,1
K1,3.1500000000000004,32.08861916469058,K1,3.73,1.08,0,1
K1,3.2,32.523900974302606,K1,3.73,1.08,0,1
K1,3.25,32.953432669685284,K1,3.73,1.08,0,1
K1,3.3000000000000003,33.3761641331008,K1,3.73,1.08,0,1
K1,3.35,33.7911114504398,K1,3.73,1.08,0,1
K1,3.4000000000000004,34.19736133097524,K1,3.73,1.08,0,1
K1,3.45,34.594072965434506,K1,3.73,1.08,0,1
K1,3.5,34.98048344992588,K1,3.73,1.08,0,1
K1,3.5500000000000003,35.35590634725826,K1,3.73,1.08,0,1
K1,3.6,35.71973505790044,K1,3.73,1.08,0,1
K1,3.6500000000000004,36.07144275112255,K1,3.73,1.08,0,1
K1,3.7,36.410582139283754,K1,3.73,1.08,0,1
K1,3.75,36.73678384990538,K1,3.73,1.08,0,1
K1,3.8000000000000003,37.0497561112143,K1,3.73,1.08,0,1
K1,3.85,37.34928193576606,K1,3.73,1.08,0,1
K1,3.9000000000000004,37.635216827766904,K1,3.73,1.08,0,1
K1,3.95,37.90748544865066,K1,3.73,1.08,0,1
K1,4,38.16607880532535,K1,3.73,1.08,0,1
K1,4.05,38.411050553338534,K1,3.73,1.08,0,1
K1,4.1000000000000005,38.64251157145037,K1,3.73,1.08,0,1
K1,4.15,38.86062731141384,K1,3.73,1.08,0,1
K1,4.2,39.06561307651402,K1,3.73,1.08,0,1
K1,4.25,39.25772915906006,K1,3.73,1.08,0,1
K1,4.3,39.437276295289045,K1,3.73,1.08,0,1
K1,4.3500000000000005,39.60459098004861,K1,3.73,1.08,0,1
K1,4.4,39.76004130906144,K1,3.73,1.08,0,1
K1,4.45,39.904022662847595,K1,3.73,1.08,0,1
K1,4.5,40.036952895368955,K1,3.73,1.08,0,1
K1,4.55,40.15926861462632,K1,3.73,1.08,0,1
K1,4.6000000000000005,40.271420485749104,K1,3.73,1.08,0,1
K1,4.65,40.37387088653996,K1,3.73,1.08,0,1
K1,4.7,40.46708930898533,K1,3.73,1.08,0,1
K1,4.75,40.551549192147874,K1,3.73,1.08,0,1
K1,4.800000000000001,40.62772606569362,K1,3.73,1.08,0,1
