ID,Timestamp,Output,Cluster,a,b,sigma,ID_dataset
K1,0,25.886814579465575,K1,1.69,0.12,0,1
K1,0.05,25.889111080878227,K1,1.69,0.12,0,1
K1,0.1,25.902769647275683,K1,1.69,0.12,0,1
K1,0.15000000000000002,25.926726155445778,K1,1.69,0.12,0,1
K1,0.2,25.959871485828415,K1,1.69,0.12,0,1
K1,0.25,26.00106093053388,K1,1.69,0.12,0,1
K1,0.30000000000000004,26.04912299267013,K1,1.69,0.12,0,1
K1,0.35000000000000003,26.102868737795,K1,1.69,0.12,0,1
K1,0.4,26.16110043757305,K1,1.69,0.12,0,1
K1,0.45,26.2226184785221,K1,1.69,0.12,0,1
K1,0.5,26.286230152549575,K1,1.69,0.12,0,1
K1,0.55,26.350754853342767,K1,1.69,0.12,0,1
K1,0.6000000000000001,26.41503054014488,K1,1.69,0.12,0,1
K1,0.65,26.477919783294727,K1,1.69,0.12,0,1
K1,0.7000000000000001,26.53831417224619,K1,1.69,0.12,0,1
K1,0.75,26.595140121923997,K1,1.69,0.12,0,1
K1,0.8,26.647363675353535,K1,1.69,0.12,0,1
K1,0.8500000000000001,26.693995731076047,K1,1.69,0.12,0,1
K1,0.9,26.734097475772526,K1,1.69,0.12,0,1
K1,0.9500000000000001,26.766787118844363,K1,1.69,0.12,0,1
K1,1,26.791245872836857,K1,1.69,0.12,0,1
K1,1.05,26.806725992771785,K1,1.69,0.12,0,1
K1,1.1,26.81255758933214,K1,1.69,0.12,0,1
K1,1.1500000000000001,26.808158231492236,K1,1.69,0.12,0,1
K1,1.2000000000000002,26.793040811303744,K1,1.69,0.12,0,1
K1,1.25,26.766822791694082,K1,1.69,0.12,0,1
K1,1.3,26.729234728777705,K1,1.69,0.12,0,1
K1,1.35,26.680128562627274,K1,1.69,0.12,0,1
K1,1.4000000000000001,26.61948492043729,K1,1.69,0.12,0,1
K1,1.4500000000000002,26.547418831136888,K1,1.69,0.12,0,1
K1,1.5,26.464184642014306,K1,1.69,0.12,0,1
K1,1.55,26.37017785051588,K1,1.69,0.12,0,1
K1,1.6,26.265935506559185,K1,1.69,0.12,0,1
K1,1.6500000000000001,26.15213359906383,K1,1.69,0.12,0,1
K1,1.7000000000000002,26.02958124039199,K1,1.69,0.12,0,1
K1,1.75,25.899212954939404,K1,1.69,0.12,0,1
K1,1.8,25.762077464568964,K1,1.69,0.12,0,1
K1,1.85,25.619323533554653,K1,1.69,0.12,0,1
K1,1.9000000000000001,25.472183812472768,K1,1.69,0.12,0,1
K1,1.9500000000000002,25.321955941050188,K1,1.69,0.12,0,1
K1,2,25.16998228071997,K1,1.69,0.12,0,1
K1,2.0500000000000003,25.01762776602532,K1,1.69,0.12,0,1
K1,2.1,24.866257445376558,K1,1.69,0.12,0,1
K1,2.15,24.71721352215001,K1,1.69,0.12,0,1
K1,2.2,24.571792480920784,K1,1.69,0.12,0,1
K1,2.25,24.431223730943515,K1,1.69,0.12,0,1
K1,2.3000000000000003,24.296649228925702,K1,1.69,0.12,0,1
K1,2.35,24.16910557188414,K1,1.69,0.12,0,1
K1,2.4000000000000004,24.049508109464735,K1,1.69,0.12,0,1
K1,2.45,23.938638051278186,K1,1.69,0.12,0,1
K1,2.5,23.837133184459514,K1,1.69,0.12,0,1
K1,2.5500000000000003,23.745481432996627,K1,1.69,0.12,0,1
K1,2.6,23.664017848137895,K1,1.69,0.12,0,1
K1,2.6500000000000004,23.592925534699386,K1,1.69,0.12,0,1
K1,2.7,23.532239480247927,K1,1.69,0.12,0,1
K1,2.75,23.481853934684423,K1,1.69,0.12,0,1
K1,2.8000000000000003,23.4415322177713,K1,1.69,0.12,0,1
K1,2.85,23.410919691948003,K1,1.69,0.12,0,1
K1,2.9000000000000004,23.389558445802443,K1,1.69,0.12,0,1
K1,2.95,23.376903752271975,K1,1.69,0.12,0,1
K1,3,23.372341888288453,K1,1.69,0.12,0,1
