ID,Timestamp,Output,Cluster,a,b,sigma,ID_dataset
K1,0,21.837825321119265,K1,2.44,0.14,0,1
K1,0.05,21.688613494437703,K1,2.44,0.14,0,1
K1,0.1,21.57511562768085,K1,2.44,0.14,0,1
K1,0.15000000000000002,21.496475110490934,K1,2.44,0.14,0,1
K1,0.2,21.45155333066882,K1,2.44,0.14,0,1
K1,0.25,21.43896544623299,K1,2.44,0.14,0,1
K1,0.30000000000000004,21.4571135605448,K1,2.44,0.14,0,1
K1,0.35000000000000003,21.504225621623846,K1,2.44,0.14,0,1
K1,0.4,21.578393172701926,K1,2.44,0.14,0,1
K1,0.45,21.677609372881967,K1,2.44,0.14,0,1
K1,0.5,21.799805875231748,K1,2.44,0.14,0,1
K1,0.55,21.94288713536113,K1,2.44,0.14,0,1
K1,0.6000000000000001,22.104763605914684,K1,2.44,0.14,0,1
K1,0.65,22.283380981030426,K1,2.44,0.14,0,1
K1,0.7000000000000001,22.47674565261078,K1,2.44,0.14,0,1
K1,0.75,22.68294755476901,K1,2.44,0.14,0,1
K1,0.8,22.90017673780642,K1,2.44,0.14,0,1
K1,0.8500000000000001,23.126737359586713,K1,2.44,0.14,0,1
K1,0.9,23.361056573305753,K1,2.44,0.14,0,1
K1,0.9500000000000001,23.601689003911275,K1,2.44,0.14,0,1
K1,1,23.847317802612196,K1,2.44,0.14,0,1
K1,1.05,24.09675069265598,K1,2.44,0.14,0,1
K1,1.1,24.348914606581125,K1,2.44,0.14,0,1
K1,1.1500000000000001,24.602845061286487,K1,2.44,0.14,0,1
K1,1.2000000000000002,24.857675329049915,K1,2.44,0.14,0,1
K1,1.25,25.112622512426185,K1,2.44,0.14,0,1
K1,1.3,25.366972066779663,K1,2.44,0.14,0,1
K1,1.35,25.620063256377897,K1,2.44,0.14,0,1
K1,1.4000000000000001,25.871272702845566,K1,2.44,0.14,0,1
K1,1.4500000000000002,26.119999649357418,K1,2.44,0.14,0,1
K1,1.5,26.365651712666338,K1,2.44,0.14,0,1
K1,1.55,26.607632214290554,K1,2.44,0.14,0,1
K1,1.6,26.84532946503964,K1,2.44,0.14,0,1
K1,1.6500000000000001,27.0781084378165,K1,2.44,0.14,0,1
K1,1.7000000000000002,27.305304475504148,K1,2.44,0.14,0,1
K1,1.75,27.526220943205296,K1,2.44,0.14,0,1
K1,1.8,27.740127839951697,K1,2.44,0.14,0,1
