ID,Timestamp,Output,Cluster,a,b,sigma,ID_dataset
K1,0,27.459780541652936,K1,0.78,0,0,1
K1,0.05,27.558351017104435,K1,0.78,0,0,1
K1,0.1,27.656726349227302,K1,0.78,0,0,1
K1,0.15000000000000002,27.754680459967926,K1,0.78,0,0,1
K1,0.2,27.85204133027428,K1,0.78,0,0,1
K1,0.25,27.94870452579907,K1,0.78,0,0,1
K1,0.30000000000000004,28.044643676444647,K1,0.78,0,0,1
K1,0.35000000000000003,28.139918944501318,K1,0.78,0,0,1
K1,0.4,28.23468119868568,K1,0.78,0,0,1
K1,0.45,28.329173455969837,K1,0.78,0,0,1
K1,0.5,28.423727299276184,K1,0.78,0,0,1
K1,0.55,28.518756316848368,K1,0.78,0,0,1
K1,0.6000000000000001,28.614745208446852,K1,0.78,0,0,1
K1,0.65,28.71223575813919,K1,0.78,0,0,1
K1,0.7000000000000001,28.811809227311876,K1,0.78,0,0,1
K1,0.75,28.914066952314386,K1,0.78,0,0,1
K1,0.8,29.019608456369436,K1,0.78,0,0,1
K1,0.8500000000000001,29.129008857959718,K1,0.78,0,0,1
K1,0.9,29.2427956894728,K1,0.78,0,0,1
K1,0.9500000000000001,29.361426428472342,K1,0.78,0,0,1
K1,1,29.485267292571294,K1,0.78,0,0,1
K1,1.05,29.614573583486262,K1,0.78,0,0,1
K1,1.1,29.749473089485384,K1,0.78,0,0,1
K1,1.1500000000000001,29.889952765289546,K1,0.78,0,0,1
K1,1.2000000000000002,30.035848536115335,K1,0.78,0,0,1
K1,1.25,30.186839525451063,K1,0.78,0,0,1
K1,1.3,30.34244624084726,K1,0.78,0,0,1
K1,1.35,30.50203284482279,K1,0.78,0,0,1
K1,1.4000000000000001,30.66481360593803,K1,0.78,0,0,1
K1,1.4500000000000002,30.8298632222063,K1,0.78,0,0,1
K1,1.5,30.99613049508142,K1,0.78,0,0,1
K1,1.55,31.162455067180765,K1,0.78,0,0,1
K1,1.6,31.32758694512495,K1,0.78,0,0,1
K1,1.6500000000000001,31.49020778729147,K1,0.78,0,0,1
K1,1.7000000000000002,31.648953562389764,K1,0.78,0,0,1
K1,1.75,31.802438099547192,K1,0.78,0,0,1
K1,1.8,31.949276746050366,K1,0.78,0,0,1
K1,1.85,32.08810984464481,K1,0.78,0,0,1
K1,1.9000000000000001,32.2176248402732,K1,0.78,0,0,1
K1,1.9500000000000002,32.33657790805812,K1,0.78,0,0,1
K1,2,32.44381305138115,K1,0.78,0,0,1
K1,2.0500000000000003,32.53827953316162,K1,0.78,0,0,1
K1,2.1,32.61904769694717,K1,0.78,0,0,1
K1,2.15,32.68532124505713,K1,0.78,0,0,1
K1,2.2,32.73644839367442,K1,0.78,0,0,1
K1,2.25,32.7719299358729,K1,0.78,0,0,1
K1,2.3000000000000003,32.791425140433006,K1,0.78,0,0,1
K1,2.35,32.79475547411542,K1,0.78,0,0,1
K1,2.4000000000000004,32.78190630294043,K1,0.78,0,0,1
K1,2.45,32.75302648997438,K1,0.78,0,0,1
K1,2.5,32.70842642324097,K1,0.78,0,0,1
K1,2.5500000000000003,32.6485742621677,K1,0.78,0,0,1
K1,2.6,32.57409088673704,K1,0.78,0,0,1
K1,2.6500000000000004,32.48574330927709,K1,0.78,0,0,1
K1,2.7,32.38443713961696,K1,0.78,0,0,1
K1,2.75,32.27120782922433,K1,0.78,0,0,1
K1,2.8000000000000003,32.14721090698433,K1,0.78,0,0,1
K1,2.85,32.01371129807321,K1,0.78,0,0,1
K1,2.9000000000000004,31.872071853734425,K1,0.78,0,0,1
K1,2.95,31.72374088866303,K1,0.78,0,0,1
K1,3,31.570239221864174,K1,0.78,0,0,1
K1,3.0500000000000003,31.413146035418965,K1,0.78,0,0,1
K1,3.1,31.254084522009045,K1,0.78,0,0,1
K1,3.1500000000000004,31.094706565348286,K1,0.78,0,0,1
K1,3.2,30.936677115979816,K1,0.78,0,0,1
K1,3.25,30.781657854360898,K1,0.78,0,0,1
K1,3.3000000000000003,30.631290573617964,K1,0.78,0,0,1
K1,3.35,30.4871807068969,K1,0.78,0,0,1
K1,3.4000000000000004,30.350880180673112,K1,0.78,0,0,1
K1,3.45,30.2238710181506,K1,0.78,0,0,1
K1,3.5,30.10754899139397,K1,0.78,0,0,1
K1,3.5500000000000003,30.003207991589893,K1,0.78,0,0,1
K1,3.6,29.91202536568054,K1,0.78,0,0,1
K1,3.6500000000000004,29.835048396985734,K1,0.78,0,0,1
K1,3.7,29.773182121294962,K1,0.78,0,0,1
K1,3.75,29.727179087294484,K1,0.78,0,0,1
K1,3.8000000000000003,29.697631152109572,K1,0.78,0,0,1
K1,3.85,29.68496339270135,K1,0.78,0,0,1
K1,3.9000000000000004,29.689430668150855,K1,0.78,0,0,1
K1,3.95,29.711116793521015,K1,0.78,0,0,1
K1,4,29.749936570600664,K1,0.78,0,0,1
K1,4.05,29.805640511905505,K1,0.78,0,0,1
K1,4.1000000000000005,29.87782263580044,K1,0.78,0,0,1
K1,4.15,29.965930484335054,K1,0.78,0,0,1
K1,4.2,30.069278285898413,K1,0.78,0,0,1
K1,4.25,30.187061734973415,K1,0.78,0,0,1
K1,4.3,30.318375094654265,K1,0.78,0,0,1
K1,4.3500000000000005,30.462229410809467,K1,0.78,0,0,1
