"RI","Method"
0.586374695863747,"kmeans"
0.416846652267819,"funHDDC"
0.705159705159705,"MAGMAclust"
0.353819992712256,"kmeans"
0.016767748840528,"funHDDC"
0.309049719804459,"MAGMAclust"
0.819391634980989,"kmeans"
0.685469037400368,"funHDDC"
1,"MAGMAclust"
0.833853841349157,"kmeans"
0.68611005210319,"funHDDC"
0.833853841349157,"MAGMAclust"
0.402139710509755,"kmeans"
0.82950903730291,"funHDDC"
0.689112649465072,"MAGMAclust"
0.821182080562178,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.548479087452471,"kmeans"
0.164686311787072,"funHDDC"
0.548479087452471,"MAGMAclust"
0.239731670001177,"kmeans"
0.318536230377378,"funHDDC"
0.172285032672959,"MAGMAclust"
0.16096529419082,"kmeans"
0.16096529419082,"funHDDC"
0.196568805122629,"MAGMAclust"
0.569919517102616,"kmeans"
0.39548565253932,"funHDDC"
0.846373927105361,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.654168183472879,"kmeans"
0.816801253465108,"funHDDC"
1,"MAGMAclust"
0.821182080562178,"kmeans"
0.556446785586017,"funHDDC"
1,"MAGMAclust"
0.553349875930521,"kmeans"
0.546376984600692,"funHDDC"
0.855201320970405,"MAGMAclust"
0.221405327226708,"kmeans"
0.0962064454750862,"funHDDC"
0.173284020450343,"MAGMAclust"
0.860856829000366,"kmeans"
0.738782652168479,"funHDDC"
0.855201320970405,"MAGMAclust"
0.583192710091124,"kmeans"
0.478021978021978,"funHDDC"
0.583192710091124,"MAGMAclust"
0.536189430001221,"kmeans"
0.0050436708082175,"funHDDC"
0.330435804064372,"MAGMAclust"
0.864162225399714,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.674975562072336,"kmeans"
1,"funHDDC"
0.852748300941934,"MAGMAclust"
0.333064794567844,"kmeans"
0.055032976538004,"funHDDC"
0.468025534774331,"MAGMAclust"
0.542168674698795,"kmeans"
0.542168674698795,"funHDDC"
0.645390070921986,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.728861933642526,"kmeans"
0.0579960797878474,"funHDDC"
0.716645634966158,"MAGMAclust"
0.727047146401985,"kmeans"
1,"funHDDC"
0.851116625310174,"MAGMAclust"
0.659782738450519,"kmeans"
1,"funHDDC"
0.608561291061005,"MAGMAclust"
1,"kmeans"
0.452604225511242,"funHDDC"
1,"MAGMAclust"
0.490900971307357,"kmeans"
0.457648840731679,"funHDDC"
0.490900971307357,"MAGMAclust"
0.535275573431895,"kmeans"
0.71327967806841,"funHDDC"
0.535275573431895,"MAGMAclust"
0.547444315694605,"kmeans"
0.82950903730291,"funHDDC"
0.82950903730291,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.837905236907731,"kmeans"
0.837905236907731,"funHDDC"
0.837905236907731,"MAGMAclust"
0.448340089843322,"kmeans"
1,"funHDDC"
0.30007367645511,"MAGMAclust"
0.849624060150376,"kmeans"
0.0139165009940358,"funHDDC"
0.849624060150376,"MAGMAclust"
0.43321563375137,"kmeans"
0.457723867285052,"funHDDC"
0.43321563375137,"MAGMAclust"
0.712737810255764,"kmeans"
0.680326883788006,"funHDDC"
0.715035620547432,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.666939347902302,"kmeans"
0.645390070921986,"funHDDC"
0.666939347902302,"MAGMAclust"
0.38486879472907,"kmeans"
0.618195104128608,"funHDDC"
0.336120976056822,"MAGMAclust"
0.56359102244389,"kmeans"
0.702194357366771,"funHDDC"
0.702194357366771,"MAGMAclust"
1,"kmeans"
0.367184761014374,"funHDDC"
1,"MAGMAclust"
0.546376984600692,"kmeans"
0.0904386078406003,"funHDDC"
0.546376984600692,"MAGMAclust"
0.437803290330217,"kmeans"
0.167948869688721,"funHDDC"
0.371650131143802,"MAGMAclust"
0.282362366945176,"kmeans"
0.302876080009469,"funHDDC"
0.314558361457,"MAGMAclust"
0.543321506237839,"kmeans"
0.855201320970405,"funHDDC"
0.543321506237839,"MAGMAclust"
0.71327967806841,"kmeans"
0.71327967806841,"funHDDC"
0.618195104128608,"MAGMAclust"
0.63352805025901,"kmeans"
0.824743456704716,"funHDDC"
0.451213107866821,"MAGMAclust"
0.235287718916567,"kmeans"
0.198505483909847,"funHDDC"
0.257890847672332,"MAGMAclust"
0.331359624622947,"kmeans"
NA,"funHDDC"
0.516539440203562,"MAGMAclust"
0.353819992712256,"kmeans"
NA,"funHDDC"
0.142124166239097,"MAGMAclust"
0.851047149736813,"kmeans"
1,"funHDDC"
0.871866921434191,"MAGMAclust"
0.544672483716357,"kmeans"
0.544672483716357,"funHDDC"
0.840993948757564,"MAGMAclust"
1,"kmeans"
0.855201320970405,"funHDDC"
1,"MAGMAclust"
0.851116625310174,"kmeans"
0.0615814405441516,"funHDDC"
0.851116625310174,"MAGMAclust"
0.851116625310174,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.105651105651106,"funHDDC"
1,"MAGMAclust"
0.32490333368168,"kmeans"
NA,"funHDDC"
0.32490333368168,"MAGMAclust"
0.481950049078416,"kmeans"
0.699110732123279,"funHDDC"
0.313423318099692,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.71040264194081,"kmeans"
0.353819992712256,"funHDDC"
0.71040264194081,"MAGMAclust"
0.614671456715726,"kmeans"
NA,"funHDDC"
0.614671456715726,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.713216957605985,"kmeans"
0.397655221916497,"funHDDC"
0.596369254538432,"MAGMAclust"
1,"kmeans"
0.120758043190833,"funHDDC"
0.839689503881201,"MAGMAclust"
0.840993948757564,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.25472483061928,"kmeans"
0.56159466735034,"funHDDC"
0.0497408384104756,"MAGMAclust"
0.384288747346072,"kmeans"
0.578163771712159,"funHDDC"
0.339805825242718,"MAGMAclust"
0.577066538322705,"kmeans"
0.0741868680716287,"funHDDC"
0.406051133191917,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.57710307042575,"kmeans"
0.515478590914482,"funHDDC"
0.460540039402016,"MAGMAclust"
0.0284219288857177,"kmeans"
0.0511459862255843,"funHDDC"
0.0397285761190763,"MAGMAclust"
0.202733485193622,"kmeans"
0.00756143667296784,"funHDDC"
0.20523138832998,"MAGMAclust"
0.70772977823356,"kmeans"
0.61030637097808,"funHDDC"
0.70772977823356,"MAGMAclust"
0.575144168530069,"kmeans"
0.843474167353183,"funHDDC"
0.575144168530069,"MAGMAclust"
0.821182080562178,"kmeans"
0.667541557305337,"funHDDC"
0.821182080562178,"MAGMAclust"
0.721407624633431,"kmeans"
0.442815249266862,"funHDDC"
0.75879579252811,"MAGMAclust"
0.688852497368113,"kmeans"
0.880307420939902,"funHDDC"
0.688852497368113,"MAGMAclust"
0.883134456882765,"kmeans"
0.534802378454005,"funHDDC"
1,"MAGMAclust"
0.398530243075184,"kmeans"
1,"funHDDC"
0.399648917495611,"MAGMAclust"
0.459459459459459,"kmeans"
0.0329829648423342,"funHDDC"
0.688799294443745,"MAGMAclust"
0.302832244008715,"kmeans"
0.0565110565110565,"funHDDC"
0.401330376940133,"MAGMAclust"
0.0774640026788704,"kmeans"
0.133461353816611,"funHDDC"
0.226555432706805,"MAGMAclust"
0.501014683060762,"kmeans"
0.282362366945176,"funHDDC"
0.483248856471752,"MAGMAclust"
0.41843328420814,"kmeans"
0.00964172236222197,"funHDDC"
0.32061978545888,"MAGMAclust"
0.0783015637484306,"kmeans"
0.0554394456055439,"funHDDC"
0.0353815555322935,"MAGMAclust"
0.511895454037753,"kmeans"
0.530226233156138,"funHDDC"
