"RI","Method"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.946346340601435,"funHDDC"
1,"MAGMAclust"
0.766947572525915,"kmeans + Bsplines"
0.83186369750411,"funHDDC"
0.939975990396158,"MAGMAclust"
0.866404732499978,"kmeans + Bsplines"
0.478582595954718,"funHDDC"
0.931160234720678,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.00631353240152482,"kmeans + Bsplines"
0.00631353240152482,"funHDDC"
0.932543751683616,"MAGMAclust"
0.944027122857038,"kmeans + Bsplines"
0.549925848054215,"funHDDC"
1,"MAGMAclust"
0.618775740702227,"kmeans + Bsplines"
0.716029537808334,"funHDDC"
0.880591195428349,"MAGMAclust"
0.891928315237727,"kmeans + Bsplines"
0.892069172950606,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.940056945901394,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.301019074993467,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.551530569140797,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.93814201094699,"kmeans + Bsplines"
0.93814201094699,"funHDDC"
1,"MAGMAclust"
0.884929821584408,"kmeans + Bsplines"
0.155176729620794,"funHDDC"
1,"MAGMAclust"
0.770493695227618,"kmeans + Bsplines"
0.476021709060811,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.570997729841528,"funHDDC"
1,"MAGMAclust"
0.936415824933301,"kmeans + Bsplines"
0.936415824933301,"funHDDC"
1,"MAGMAclust"
0.532653443735635,"kmeans + Bsplines"
0.680096042069889,"funHDDC"
0.59233970581902,"MAGMAclust"
0.696538288625805,"kmeans + Bsplines"
0.476448437603224,"funHDDC"
0.940056945901394,"MAGMAclust"
0.868504228140692,"kmeans + Bsplines"
0.809046412299415,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.159832687711201,"funHDDC"
1,"MAGMAclust"
0.944100852709169,"kmeans + Bsplines"
0.553236221654903,"funHDDC"
0.944100852709169,"MAGMAclust"
0.760850695748023,"kmeans + Bsplines"
0.504597898879422,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.597476095687855,"funHDDC"
1,"MAGMAclust"
0.877024868811316,"kmeans + Bsplines"
0.467114952227714,"funHDDC"
0.877024868811316,"MAGMAclust"
0.83141016034767,"kmeans + Bsplines"
0.814414185119199,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.910790750785041,"kmeans + Bsplines"
0.511589240117971,"funHDDC"
1,"MAGMAclust"
0.7556264848298,"kmeans + Bsplines"
0.870407984379439,"funHDDC"
0.811165920095755,"MAGMAclust"
0.510917169778954,"kmeans + Bsplines"
0.564560230897767,"funHDDC"
0.37528713672094,"MAGMAclust"
0.93814201094699,"kmeans + Bsplines"
0.878321981812097,"funHDDC"
0.93814201094699,"MAGMAclust"
1,"kmeans + Bsplines"
0.457930336936595,"funHDDC"
1,"MAGMAclust"
0.870006219657064,"kmeans + Bsplines"
0.512526564444708,"funHDDC"
0.834081219230679,"MAGMAclust"
0.797159108708397,"kmeans + Bsplines"
0.8377403756714,"funHDDC"
0.851275585206985,"MAGMAclust"
0.690193179386417,"kmeans + Bsplines"
0.59065966689404,"funHDDC"
0.777508382175301,"MAGMAclust"
0.59661531187202,"kmeans + Bsplines"
0.781350214485028,"funHDDC"
0.763967793354314,"MAGMAclust"
0.880753927211224,"kmeans + Bsplines"
0.880113525151693,"funHDDC"
0.880113525151693,"MAGMAclust"
0.717332603901949,"kmeans + Bsplines"
0.476722466068635,"funHDDC"
1,"MAGMAclust"
0.946208880645039,"kmeans + Bsplines"
0.476021709060811,"funHDDC"
1,"MAGMAclust"
0.934996414379475,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.800079786751772,"kmeans + Bsplines"
0.844506500806934,"funHDDC"
1,"MAGMAclust"
0.891928315237727,"kmeans + Bsplines"
0.798763069753009,"funHDDC"
1,"MAGMAclust"
0.93814201094699,"kmeans + Bsplines"
0.93814201094699,"funHDDC"
1,"MAGMAclust"
0.88417276939172,"kmeans + Bsplines"
0.659533073929961,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.462572533048582,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.720871942883184,"kmeans + Bsplines"
0.679165876434835,"funHDDC"
0.820650234405263,"MAGMAclust"
1,"kmeans + Bsplines"
0.940056945901394,"funHDDC"
1,"MAGMAclust"
0.93814201094699,"kmeans + Bsplines"
0.494482362696945,"funHDDC"
1,"MAGMAclust"
0.70453805429264,"kmeans + Bsplines"
0.811405905206374,"funHDDC"
1,"MAGMAclust"
0.589537235598011,"kmeans + Bsplines"
0.628336251020179,"funHDDC"
0.78299645097644,"MAGMAclust"
0.946208880645039,"kmeans + Bsplines"
0.343314306966149,"funHDDC"
0.946208880645039,"MAGMAclust"
0.592785057562705,"kmeans + Bsplines"
0.670789346077223,"funHDDC"
0.675833237551221,"MAGMAclust"
1,"kmeans + Bsplines"
0.525692609279556,"funHDDC"
0.870900818707111,"MAGMAclust"
1,"kmeans + Bsplines"
0.881528762519569,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
