"RI","Method"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.0355845132188948,"kmeans"
0.00304334137894853,"funHDDC"
0.0377238663787629,"MAGMAclust"
0.479020533095268,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
0.82400889218229,"MAGMAclust"
0.421366792544768,"kmeans"
0.798752500882664,"funHDDC"
0.421366792544768,"MAGMAclust"
0.574468085106383,"kmeans"
0.860856829000366,"funHDDC"
0.516929182686345,"MAGMAclust"
1,"kmeans"
0.839855508729681,"funHDDC"
0.839855508729681,"MAGMAclust"
0.527754763877382,"kmeans"
0.101520411828086,"funHDDC"
0.527754763877382,"MAGMAclust"
0.449594438006952,"kmeans"
0.449594438006952,"funHDDC"
0.420510865421273,"MAGMAclust"
0.649920157228842,"kmeans"
0.0577935594465532,"funHDDC"
0.721713658000732,"MAGMAclust"
0.786276715410574,"kmeans"
0.672776479271743,"funHDDC"
0.880307420939902,"MAGMAclust"
1,"kmeans"
0.00564506644713632,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.505264349598098,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.527754763877382,"funHDDC"
1,"MAGMAclust"
0.104773713577185,"kmeans"
NA,"funHDDC"
0.377598588887489,"MAGMAclust"
1,"kmeans"
0.356355546566893,"funHDDC"
1,"MAGMAclust"
0.580933709104276,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.407484407484408,"funHDDC"
0.837905236907731,"MAGMAclust"
1,"kmeans"
0.0249577538021578,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.0779973961415552,"funHDDC"
1,"MAGMAclust"
0.271415572598466,"kmeans"
0.00363512438941271,"funHDDC"
0.404388714733542,"MAGMAclust"
0.460431654676259,"kmeans"
0.846373927105361,"funHDDC"
0.426559356136821,"MAGMAclust"
0.779094230982173,"kmeans"
0.522399731873534,"funHDDC"
0.779094230982173,"MAGMAclust"
1,"kmeans"
0.447741310403294,"funHDDC"
0.910048526452835,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.488159378523994,"kmeans"
0.535590795278407,"funHDDC"
0.729087452471483,"MAGMAclust"
0.258417802633112,"kmeans"
0.0149132005126412,"funHDDC"
0.330135244480407,"MAGMAclust"
1,"kmeans"
0.0754257907542579,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.0120481927710843,"kmeans"
0.312039312039312,"funHDDC"
0.565217391304348,"MAGMAclust"
0.265311213670949,"kmeans"
0.0283148309841587,"funHDDC"
0.227062210539492,"MAGMAclust"
0.837905236907731,"kmeans"
0.837905236907731,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.420805283881621,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.0119540774056101,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.430071241094863,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.417641048927233,"kmeans"
0.333182384240915,"funHDDC"
0.330453563714903,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.442815249266862,"funHDDC"
1,"MAGMAclust"
0.0401877030441583,"kmeans"
0.0464385052606119,"funHDDC"
0.0349575002992937,"MAGMAclust"
0.864162225399714,"kmeans"
0.0794353391554013,"funHDDC"
0.864162225399714,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.199008059516429,"funHDDC"
1,"MAGMAclust"
0.671999079295661,"kmeans"
0.797609184518878,"funHDDC"
0.671999079295661,"MAGMAclust"
0.227740378508828,"kmeans"
0.068741575787281,"funHDDC"
0.34239200102551,"MAGMAclust"
1,"kmeans"
0.557739557739558,"funHDDC"
0.82950903730291,"MAGMAclust"
1,"kmeans"
0.48375410392845,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.435829759155394,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.60431654676259,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.756535110199897,"kmeans"
1,"funHDDC"
0.866658160010208,"MAGMAclust"
1,"kmeans"
0.0440835266821345,"funHDDC"
1,"MAGMAclust"
0.602977667493797,"kmeans"
0.278368587121655,"funHDDC"
0.602977667493797,"MAGMAclust"
1,"kmeans"
0.375076135948349,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.389027431421446,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.333630914424181,"funHDDC"
1,"MAGMAclust"
0.523227383863081,"kmeans"
0.851116625310174,"funHDDC"
0.523227383863081,"MAGMAclust"
0.442815249266862,"kmeans"
0.420947879089439,"funHDDC"
0.442815249266862,"MAGMAclust"
0.0240747394897592,"kmeans"
0.107429842996662,"funHDDC"
0.0839411546544691,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.437803290330217,"funHDDC"
1,"MAGMAclust"
0.252060524049699,"kmeans"
0.317545354925119,"funHDDC"
0.480318706148175,"MAGMAclust"
0.392933216388924,"kmeans"
0.178674351585014,"funHDDC"
0.30776830925034,"MAGMAclust"
1,"kmeans"
0.846373927105361,"funHDDC"
1,"MAGMAclust"
0.702233250620347,"kmeans"
0.754172596713676,"funHDDC"
0.592486676199142,"MAGMAclust"
0.363814801985914,"kmeans"
0.229458093334901,"funHDDC"
0.239470936303515,"MAGMAclust"
0.42410555093308,"kmeans"
0.580933709104276,"funHDDC"
0.416739756922691,"MAGMAclust"
0.0963006459189665,"kmeans"
0.3265595463138,"funHDDC"
0.0963006459189665,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.421366792544768,"funHDDC"
1,"MAGMAclust"
0.372539057538422,"kmeans"
0.336266011126925,"funHDDC"
0.727047146401985,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.381886871654948,"funHDDC"
1,"MAGMAclust"
0.0422689177699502,"kmeans"
0.0151278664905751,"funHDDC"
0.0422689177699502,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.618856569709127,"kmeans"
0.554737194509541,"funHDDC"
0.554737194509541,"MAGMAclust"
0.308116997533185,"kmeans"
0.417521518688834,"funHDDC"
0.155061439438268,"MAGMAclust"
1,"kmeans"
0.82950903730291,"funHDDC"
1,"MAGMAclust"
