"RI","Method"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.936480291351864,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.13604971456706,"kmeans + Bsplines"
0.111503669490976,"funHDDC"
1,"MAGMAclust"
0.87031852827703,"kmeans + Bsplines"
0.868504228140692,"funHDDC"
0.868504228140692,"MAGMAclust"
0.87329488068728,"kmeans + Bsplines"
0.816614270744022,"funHDDC"
1,"MAGMAclust"
0.622812445412908,"kmeans + Bsplines"
0.749196628063273,"funHDDC"
0.719807868252516,"MAGMAclust"
0.936730973720188,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.0186804980102098,"kmeans + Bsplines"
0.0315697059824772,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.499556068784827,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.609424597856173,"funHDDC"
1,"MAGMAclust"
0.765333811992524,"kmeans + Bsplines"
0.36954012408305,"funHDDC"
1,"MAGMAclust"
0.406822748952861,"kmeans + Bsplines"
0.205314720598747,"funHDDC"
0.46092449237907,"MAGMAclust"
1,"kmeans + Bsplines"
0.53237975479409,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.958228668204913,"kmeans + Bsplines"
0.958228668204913,"funHDDC"
0.829886628116894,"MAGMAclust"
0.618343478886066,"kmeans + Bsplines"
0.618343478886066,"funHDDC"
0.618343478886066,"MAGMAclust"
0.386319567638929,"kmeans + Bsplines"
0.66153732337057,"funHDDC"
0.619830863527039,"MAGMAclust"
0.593587942039927,"kmeans + Bsplines"
0.410210379956455,"funHDDC"
0.892541974420604,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.505115795895821,"funHDDC"
1,"MAGMAclust"
0.452201688341319,"kmeans + Bsplines"
0.432059075616667,"funHDDC"
0.484369423915132,"MAGMAclust"
0.932054727986556,"kmeans + Bsplines"
0.70320863166062,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.505996484183084,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.447256030377121,"kmeans + Bsplines"
0.449953979470518,"funHDDC"
0.765632885363109,"MAGMAclust"
0.648129641487191,"kmeans + Bsplines"
0.241039789973836,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.435377617848573,"kmeans + Bsplines"
0.373932840068298,"funHDDC"
0.771385914572982,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.931545929666568,"kmeans + Bsplines"
0.931545929666568,"funHDDC"
0.932062044647861,"MAGMAclust"
0.940296325177893,"kmeans + Bsplines"
0.474132575383885,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.320740467534292,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.443130889666404,"funHDDC"
1,"MAGMAclust"
0.944671779445905,"kmeans + Bsplines"
0.569782498545611,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.604378219333638,"kmeans + Bsplines"
0.691688164600768,"funHDDC"
0.756941906243799,"MAGMAclust"
1,"kmeans + Bsplines"
0.356367946668385,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.455237595169336,"funHDDC"
1,"MAGMAclust"
0.732727272727273,"kmeans + Bsplines"
0.702896094603246,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.656334028218375,"kmeans + Bsplines"
0.663322550444666,"funHDDC"
1,"MAGMAclust"
0.460233531614893,"kmeans + Bsplines"
0.243758249575946,"funHDDC"
0.948676358804623,"MAGMAclust"
1,"kmeans + Bsplines"
0.453068318623582,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.793782202742757,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.469550840451915,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.0732174717504791,"kmeans + Bsplines"
0.105793161322213,"funHDDC"
0.426895903354636,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.803719100223431,"kmeans + Bsplines"
0.589716018262264,"funHDDC"
0.846828501509387,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.53163522261335,"funHDDC"
0.870150519397922,"MAGMAclust"
1,"kmeans + Bsplines"
0.602789668580397,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.936730973720188,"funHDDC"
1,"MAGMAclust"
0.00384251173805259,"kmeans + Bsplines"
0.0162468326129081,"funHDDC"
0.111566424717062,"MAGMAclust"
0.380072550397296,"kmeans + Bsplines"
0.354077077206098,"funHDDC"
0.541105200629341,"MAGMAclust"
0.73362152946907,"kmeans + Bsplines"
0.494657811146405,"funHDDC"
0.879770158016364,"MAGMAclust"
0.643805400706075,"kmeans + Bsplines"
0.311425240454678,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
0.938632192405724,"MAGMAclust"
1,"kmeans + Bsplines"
