"RI","Method"
0.724445991414317,"kmeans"
NA,"funHDDC"
0.75879579252811,"MAGMAclust"
0.617184453399194,"kmeans"
0.0670832801938528,"funHDDC"
0.837905236907731,"MAGMAclust"
1,"kmeans"
0.571554284457155,"funHDDC"
1,"MAGMAclust"
0.606879606879607,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.57710307042575,"kmeans"
0.513727315030247,"funHDDC"
0.57710307042575,"MAGMAclust"
0.846373927105361,"kmeans"
1,"funHDDC"
0.710255432710637,"MAGMAclust"
0.706267094779403,"kmeans"
0.480318706148175,"funHDDC"
1,"MAGMAclust"
0.784553357691823,"kmeans"
0.678627522049052,"funHDDC"
0.51491238249971,"MAGMAclust"
1,"kmeans"
0.307664277905988,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.407484407484408,"kmeans"
0.28927680798005,"funHDDC"
0.34640522875817,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.508599508599509,"kmeans"
0.367945823927765,"funHDDC"
0.416058394160584,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.158110882956879,"kmeans"
0.276169265033408,"funHDDC"
0.00178890876565298,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.0280272697759982,"kmeans"
NA,"funHDDC"
0,"MAGMAclust"
0.46417126009486,"kmeans"
0.319565476901039,"funHDDC"
0.459179712770087,"MAGMAclust"
1,"kmeans"
0.0916584240026376,"funHDDC"
1,"MAGMAclust"
0.420510865421273,"kmeans"
0.100094726870856,"funHDDC"
0.569106715383646,"MAGMAclust"
0.365256124721604,"kmeans"
0.38496583143508,"funHDDC"
0.386317907444668,"MAGMAclust"
0.172259507829978,"kmeans"
0.249422632794457,"funHDDC"
0.268292682926829,"MAGMAclust"
0.231711800024507,"kmeans"
0.250093973186318,"funHDDC"
0.108389607416733,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
