"RI","Method"
0.903852862176021,"kmeans + Bsplines"
0.903852862176021,"funHDDC"
0.949888820385754,"funFEM"
0.950450997047284,"MAGMAclust"
0.873460409666227,"kmeans + Bsplines"
0.934826856047536,"funHDDC"
0.815653107105887,"funFEM"
0.873460409666227,"MAGMAclust"
0.662500281132627,"kmeans + Bsplines"
0.668053511649915,"funHDDC"
0.660678798657346,"funFEM"
0.676490783288438,"MAGMAclust"
0.303463431250273,"kmeans + Bsplines"
0.00888205274107794,"funHDDC"
0.0496618349144117,"funFEM"
0.273293481718573,"MAGMAclust"
0.771467106249063,"kmeans + Bsplines"
0.347262935442089,"funHDDC"
0.0986651988440897,"funFEM"
0.775516312481293,"MAGMAclust"
1,"kmeans + Bsplines"
0.508225556130367,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.731090007070005,"kmeans + Bsplines"
1,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.749913424299569,"kmeans + Bsplines"
0.780427266816947,"funHDDC"
0.846828501509387,"funFEM"
0.94431885674113,"MAGMAclust"
0.941968945171923,"kmeans + Bsplines"
0.332258606992293,"funHDDC"
0.30726357235599,"funFEM"
0.941968945171923,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.949888820385754,"kmeans + Bsplines"
0.54175660660203,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.940296325177893,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.707080579741334,"kmeans + Bsplines"
0.870900818707111,"funHDDC"
0.870900818707111,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.876662964927651,"kmeans + Bsplines"
0.87073539875303,"funHDDC"
0.00882981740439367,"funFEM"
0.873614847134148,"MAGMAclust"
1,"kmeans + Bsplines"
0.532653443735635,"funHDDC"
0.940296325177893,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
0.0217347167433417,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.844852175924141,"funHDDC"
1,"funFEM"
