"RI","Method"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.343065693430657,"kmeans"
0.330024813895782,"funHDDC"
0.343065693430657,"MAGMAclust"
0.32219301539617,"kmeans"
0.214463840399003,"funHDDC"
0.336120976056822,"MAGMAclust"
0.332687416737314,"kmeans"
0.0185208517071942,"funHDDC"
0.237371866123256,"MAGMAclust"
0.454908319820382,"kmeans"
0.678933533608712,"funHDDC"
0.474940334128878,"MAGMAclust"
1,"kmeans"
0.0218978102189781,"funHDDC"
1,"MAGMAclust"
0.367184761014374,"kmeans"
0.391238494698823,"funHDDC"
0.367184761014374,"MAGMAclust"
1,"kmeans"
0.0605509040165028,"funHDDC"
1,"MAGMAclust"
0.221411192214112,"kmeans"
0.0462287104622871,"funHDDC"
0.316546762589928,"MAGMAclust"
0.41545955646712,"kmeans"
0.115021348169233,"funHDDC"
0.273900513720085,"MAGMAclust"
1,"kmeans"
0.1415313225058,"funHDDC"
1,"MAGMAclust"
0.231487243310517,"kmeans"
0.124317768344451,"funHDDC"
0.231487243310517,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.592486676199142,"kmeans"
0.0648379052369078,"funHDDC"
0.312818688485711,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.19732224099831,"kmeans"
0.170708050436469,"funHDDC"
0.19732224099831,"MAGMAclust"
0.864162225399714,"kmeans"
0.437803290330217,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.333625602805787,"kmeans"
0.332748024582968,"funHDDC"
0.343821949347659,"MAGMAclust"
0.0534274193548387,"kmeans"
0.0698468935847147,"funHDDC"
0.042363149164221,"MAGMAclust"
1,"kmeans"
0.113695733300162,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.56159466735034,"kmeans"
0.192274990890319,"funHDDC"
0.237935049812395,"MAGMAclust"
0.478908188585608,"kmeans"
0.60431654676259,"funHDDC"
0.837905236907731,"MAGMAclust"
0.719384615384615,"kmeans"
0.469981807155852,"funHDDC"
0.755364806866953,"MAGMAclust"
1,"kmeans"
0.314214463840399,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
0.837905236907731,"MAGMAclust"
0.172749391727494,"kmeans"
0.189189189189189,"funHDDC"
0.147869674185464,"MAGMAclust"
1,"kmeans"
0.840993948757564,"funHDDC"
1,"MAGMAclust"
0.110486891385768,"kmeans"
0.11845572230496,"funHDDC"
0.169033284107691,"MAGMAclust"
0.68337392641969,"kmeans"
0.82950903730291,"funHDDC"
1,"MAGMAclust"
0.227740378508828,"kmeans"
0.139778089529397,"funHDDC"
0.15534103899403,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.171901038328419,"kmeans"
0.227347820561698,"funHDDC"
0.420510865421273,"MAGMAclust"
0.68337392641969,"kmeans"
0.699481209667215,"funHDDC"
0.547444315694605,"MAGMAclust"
0.851116625310174,"kmeans"
1,"funHDDC"
0.851116625310174,"MAGMAclust"
0.327146171693735,"kmeans"
0.314420803782506,"funHDDC"
0.327146171693735,"MAGMAclust"
0.620805787701135,"kmeans"
0.0702969135078042,"funHDDC"
0.589556844833971,"MAGMAclust"
0.561763198359815,"kmeans"
0.474520418971402,"funHDDC"
0.610456176319836,"MAGMAclust"
1,"kmeans"
0.0785645004849661,"funHDDC"
1,"MAGMAclust"
0.389294103102979,"kmeans"
0.68337392641969,"funHDDC"
0.573406511163777,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
0.680326883788006,"MAGMAclust"
0.535073409461664,"kmeans"
0.105910402810892,"funHDDC"
0.425403225806452,"MAGMAclust"
1,"kmeans"
0.575144168530069,"funHDDC"
1,"MAGMAclust"
0.596369254538432,"kmeans"
0.610026122652071,"funHDDC"
0.596369254538432,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
0.69127778499935,"MAGMAclust"
1,"kmeans"
0.483133841131665,"funHDDC"
1,"MAGMAclust"
0.061856979550362,"kmeans"
0.0211223597050368,"funHDDC"
0.168853893263342,"MAGMAclust"
1,"kmeans"
0.727980758217844,"funHDDC"
0.902073072958424,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.816801253465108,"kmeans"
0.2091806397907,"funHDDC"
0.412534189558806,"MAGMAclust"
0.638003302426013,"kmeans"
0.638003302426013,"funHDDC"
0.479020533095268,"MAGMAclust"
0.82950903730291,"kmeans"
0.688799294443745,"funHDDC"
0.82950903730291,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.28184452563941,"kmeans"
0.174204158346059,"funHDDC"
0.248964738361149,"MAGMAclust"
0.871003579804962,"kmeans"
0.429908785405665,"funHDDC"
0.871003579804962,"MAGMAclust"
0.282567652611705,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.483133841131665,"funHDDC"
1,"MAGMAclust"
0.454908319820382,"kmeans"
0.301556181840461,"funHDDC"
0.517337736568017,"MAGMAclust"
0.330985915492958,"kmeans"
0.257720451444872,"funHDDC"
0.171070419073369,"MAGMAclust"
0.63466222279195,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.527754763877382,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.421366792544768,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.354699271335062,"funHDDC"
0.674975562072336,"MAGMAclust"
0.505266895490591,"kmeans"
0.0742362859958392,"funHDDC"
0.444865274320961,"MAGMAclust"
1,"kmeans"
0.866658160010208,"funHDDC"
1,"MAGMAclust"
0.0977443609022556,"kmeans"
0.164677804295943,"funHDDC"
0.106699751861042,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.178741020333617,"kmeans"
0.0188944959511795,"funHDDC"
0.0474524892153434,"MAGMAclust"
0.264470935234116,"kmeans"
1,"funHDDC"
0.448001897308194,"MAGMAclust"
0.670506627028366,"kmeans"
0.0355506007679921,"funHDDC"
0.880307420939902,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.39110370465325,"kmeans"
0.0859900927219612,"funHDDC"
0.39110370465325,"MAGMAclust"
1,"kmeans"
0.645852749301025,"funHDDC"
0.813230021972939,"MAGMAclust"
0.321513594787621,"kmeans"
0.222020018198362,"funHDDC"
0.22084868655652,"MAGMAclust"
0.678627522049052,"kmeans"
0.724537876042044,"funHDDC"
0.535590795278407,"MAGMAclust"
1,"kmeans"
0.411764705882353,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.705159705159705,"funHDDC"
1,"MAGMAclust"
