"RI","Method"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.947004268002512,"kmeans + Bsplines"
0.446490876338327,"funHDDC"
1,"MAGMAclust"
0.0266327247451757,"kmeans + Bsplines"
0.00675240443348658,"funHDDC"
0.500222470833576,"MAGMAclust"
0.0735800948660793,"kmeans + Bsplines"
0.263886183646151,"funHDDC"
0.298304474485287,"MAGMAclust"
0.588993881422828,"kmeans + Bsplines"
0.473835039002532,"funHDDC"
0.649595366077494,"MAGMAclust"
0.6808835550605,"kmeans + Bsplines"
0.287955909526006,"funHDDC"
1,"MAGMAclust"
0.937136819862652,"kmeans + Bsplines"
0.0320254044686129,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.944100852709169,"kmeans + Bsplines"
0.451883399897254,"funHDDC"
0.944100852709169,"MAGMAclust"
1,"kmeans + Bsplines"
0.441618409802594,"funHDDC"
1,"MAGMAclust"
0.895460570856398,"kmeans + Bsplines"
0.576878429502765,"funHDDC"
1,"MAGMAclust"
0.932543751683616,"kmeans + Bsplines"
0.40578627483176,"funHDDC"
0.932543751683616,"MAGMAclust"
0.52036995681517,"kmeans + Bsplines"
0.432078344284439,"funHDDC"
0.934148915402222,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.436565165686758,"kmeans + Bsplines"
0.60385544766131,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.539341917024321,"funHDDC"
1,"MAGMAclust"
0.932054727986556,"kmeans + Bsplines"
1,"funHDDC"
0.932054727986556,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.302857041232805,"kmeans + Bsplines"
0.241312752920803,"funHDDC"
0.188391782281778,"MAGMAclust"
0.588199612440742,"kmeans + Bsplines"
0.441782555324496,"funHDDC"
0.826140104293046,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.876532463486595,"kmeans + Bsplines"
0.876532463486595,"funHDDC"
0.936395511493095,"MAGMAclust"
1,"kmeans + Bsplines"
0.45171383052672,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.946346340601435,"funHDDC"
1,"MAGMAclust"
0.870900818707111,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.495029797658587,"kmeans + Bsplines"
0.571920301461295,"funHDDC"
0.757421504161401,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.468598672499582,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.457930336936595,"funHDDC"
1,"MAGMAclust"
0.201266837317048,"kmeans + Bsplines"
0.0417332224677797,"funHDDC"
0.158035366660998,"MAGMAclust"
0.58992002975637,"kmeans + Bsplines"
0.706564999070113,"funHDDC"
0.660586718425879,"MAGMAclust"
0.464067617409903,"kmeans + Bsplines"
0.420233192807188,"funHDDC"
0.472320771536432,"MAGMAclust"
1,"kmeans + Bsplines"
0.470608076059574,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.715844042340173,"kmeans + Bsplines"
0.711376076781944,"funHDDC"
0.763972013824496,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.938632192405724,"kmeans + Bsplines"
1,"funHDDC"
0.935328215903451,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.93814201094699,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.367935395617845,"kmeans + Bsplines"
0.115465520850987,"funHDDC"
0.419382514579184,"MAGMAclust"
0.346035715448893,"kmeans + Bsplines"
0.174724504456223,"funHDDC"
0.611690435760941,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.850891047151339,"kmeans + Bsplines"
0.460395437326162,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.936730973720188,"kmeans + Bsplines"
0.533981028983266,"funHDDC"
1,"MAGMAclust"
0.88386033268395,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.473835039002532,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.637068537261263,"funHDDC"
0.948487205903997,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.46568715666568,"kmeans + Bsplines"
0.484369423915132,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
0.946346340601435,"MAGMAclust"
1,"kmeans + Bsplines"
0.425649841760671,"funHDDC"
1,"MAGMAclust"
0.381151959055785,"kmeans + Bsplines"
0.293782372641608,"funHDDC"
0.364432862770847,"MAGMAclust"
0.596495626091291,"kmeans + Bsplines"
