"RI","Method"
0.574317133735367,"kmeans + Bsplines"
0.353169469598965,"funHDDC"
0.0209696209337755,"funFEM"
0.484181568088033,"MAGMAclust"
1,"kmeans + Bsplines"
0.44878607208793,"funHDDC"
0.451143906056259,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.646728397770659,"funHDDC"
0.673902474403954,"funFEM"
1,"MAGMAclust"
0.486402740864834,"kmeans + Bsplines"
0.243931931831064,"funHDDC"
0.305918365845223,"funFEM"
0.682955598882561,"MAGMAclust"
1,"kmeans + Bsplines"
0.529822675980655,"funHDDC"
0.706141214346099,"funFEM"
1,"MAGMAclust"
0.944121999237322,"kmeans + Bsplines"
0.351553754436509,"funHDDC"
0.324334164016551,"funFEM"
1,"MAGMAclust"
0.856450744661762,"kmeans + Bsplines"
0.182851979825859,"funHDDC"
0.607893016705189,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.539864559819413,"funHDDC"
0.648205128205128,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.634471044597976,"funHDDC"
0.554538349893938,"funFEM"
1,"MAGMAclust"
0.749518779922018,"kmeans + Bsplines"
0.106041162825132,"funHDDC"
0.0961577099904268,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.151489567000362,"funHDDC"
0.145851627094183,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.594660490064611,"funHDDC"
0.618393271260946,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.534462500740885,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.720334146214912,"kmeans + Bsplines"
0.414681516620261,"funHDDC"
0.414681516620261,"funFEM"
1,"MAGMAclust"
0.298575299361944,"kmeans + Bsplines"
0.00211218023938045,"funHDDC"
0.00211218023938045,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.60096669540211,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.594660490064611,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.76890551309156,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.654733917149404,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.375269399529173,"kmeans + Bsplines"
0.0466700535747275,"funHDDC"
0.00480007349394822,"funFEM"
1,"MAGMAclust"
0.461726242371404,"kmeans + Bsplines"
0.100988179943178,"funHDDC"
0.0778383112016774,"funFEM"
0.67191161700703,"MAGMAclust"
0.0227010485546473,"kmeans + Bsplines"
0.023442967109867,"funHDDC"
0.0107751298354608,"funFEM"
0.744986989132099,"MAGMAclust"
0.52212658590269,"kmeans + Bsplines"
0.0442887484240009,"funHDDC"
0.0385453911223511,"funFEM"
1,"MAGMAclust"
0.335069823836681,"kmeans + Bsplines"
0.00401574653645816,"funHDDC"
0.0210666994917966,"funFEM"
0.383032466054961,"MAGMAclust"
1,"kmeans + Bsplines"
0.676283595778085,"funHDDC"
0.676283595778085,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.644499643392932,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.896340364160808,"kmeans + Bsplines"
0.287903371191635,"funHDDC"
0.310438074634938,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.631078138859769,"funHDDC"
0.544021888882981,"funFEM"
1,"MAGMAclust"
0.864055972232419,"kmeans + Bsplines"
0.261763371545811,"funHDDC"
0.265916367321243,"funFEM"
1,"MAGMAclust"
0.555555555555556,"kmeans + Bsplines"
0.245189117451891,"funHDDC"
0.386920980926431,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.657088441729507,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.416547000008919,"kmeans + Bsplines"
0.193049387758649,"funHDDC"
0.00774195748744488,"funFEM"
0.573900266874569,"MAGMAclust"
1,"kmeans + Bsplines"
0.645136842105263,"funHDDC"
0.648833333333333,"funFEM"
0.771820895522388,"MAGMAclust"
1,"kmeans + Bsplines"
0.526646217314877,"funHDDC"
0.727769003581116,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.589003602288513,"funHDDC"
0.750811642080082,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.636000669424056,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.600051282622995,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.566270291936669,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.67365028203062,"funHDDC"
1,"funFEM"
0.944844830122077,"MAGMAclust"
1,"kmeans + Bsplines"
0.531056450185808,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.449447943945078,"kmeans + Bsplines"
0.0543670048522276,"funHDDC"
0.0648501249961315,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.704027163460764,"funHDDC"
0.669470613341531,"funFEM"
1,"MAGMAclust"
0.633190502790361,"kmeans + Bsplines"
0.119544762075455,"funHDDC"
0.0835027769333408,"funFEM"
1,"MAGMAclust"
0,"kmeans + Bsplines"
0,"funHDDC"
0,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.659688377787914,"funHDDC"
0.659688377787914,"funFEM"
1,"MAGMAclust"
0.942743219970302,"kmeans + Bsplines"
0.469461787389735,"funHDDC"
0.596663974653662,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.579502267990683,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.76028863205528,"funHDDC"
0.647301340850336,"funFEM"
0.728032250525824,"MAGMAclust"
0.283542938393273,"kmeans + Bsplines"
0.042128987517337,"funHDDC"
0.00143061516452076,"funFEM"
0.536541387276723,"MAGMAclust"
1,"kmeans + Bsplines"
0.353337207644821,"funHDDC"
0.170748556729304,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.313251972918194,"funHDDC"
0.528230439147326,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.658785688231588,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.382854020761933,"kmeans + Bsplines"
0.159313725490196,"funHDDC"
0.159313725490196,"funFEM"
1,"MAGMAclust"
0.956627342123525,"kmeans + Bsplines"
0.348786401939836,"funHDDC"
0.85609789025393,"funFEM"
0.646146933273422,"MAGMAclust"
1,"kmeans + Bsplines"
0.598750065510193,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.603426471831199,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.697774825639322,"funHDDC"
0.65691576690553,"funFEM"
1,"MAGMAclust"
0.33491895701198,"kmeans + Bsplines"
0.0962410192305264,"funHDDC"
0.0962410192305264,"funFEM"
0.803738317757009,"MAGMAclust"
0.938882929628059,"kmeans + Bsplines"
0.171836304342496,"funHDDC"
0.0178638538821937,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.582352272672705,"funHDDC"
0.650426337185506,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.576340638681136,"funHDDC"
0.747392979663622,"funFEM"
0.563031118848783,"MAGMAclust"
1,"kmeans + Bsplines"
0.250713606089439,"funHDDC"
0.0868668307734979,"funFEM"
1,"MAGMAclust"
0.0999041060064511,"kmeans + Bsplines"
0.00644122383252816,"funHDDC"
0.00644122383252816,"funFEM"
0.835298196948682,"MAGMAclust"
1,"kmeans + Bsplines"
0.632527264106211,"funHDDC"
0.589641434262948,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.515139521076588,"funHDDC"
0.72721955045649,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.240507696731652,"funHDDC"
0.434564503627322,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.597139205229308,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.417798380546698,"kmeans + Bsplines"
0.183073339923929,"funHDDC"
0.0442531718053791,"funFEM"
0.770323174083256,"MAGMAclust"
1,"kmeans + Bsplines"
0.758203604052537,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.928,"kmeans + Bsplines"
0.283720930232558,"funHDDC"
0.182572614107884,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.587116608279116,"funHDDC"
0.741828562670039,"funFEM"
1,"MAGMAclust"
0.25985739533183,"kmeans + Bsplines"
0.00741133752259049,"funHDDC"
0.0301656833700487,"funFEM"
0.494397128318197,"MAGMAclust"
1,"kmeans + Bsplines"
