"RI","Method","K"
0.545164379189275,"MAGMAclust",2
0.440993788819876,"MAGMAclust",2
0.516539440203562,"MAGMAclust",2
0.0658800393313668,"MAGMAclust",2
0.573656456860765,"MAGMAclust",2
0.565217391304348,"MAGMAclust",2
0.536173990235242,"MAGMAclust",2
0.531022102546842,"MAGMAclust",2
0.387096774193548,"MAGMAclust",2
0.258903335217637,"MAGMAclust",2
0.565217391304348,"MAGMAclust",2
0.0045070422535211,"MAGMAclust",2
0.545164379189275,"MAGMAclust",2
0.31509754028838,"MAGMAclust",2
0.440993788819876,"MAGMAclust",2
0.484162895927602,"MAGMAclust",2
0.630103459784181,"MAGMAclust",2
0.454079014879425,"MAGMAclust",2
0.702194357366771,"MAGMAclust",2
0.113347576745755,"MAGMAclust",2
0.679379007762403,"MAGMAclust",2
0.679379007762403,"MAGMAclust",2
0.194460146975692,"MAGMAclust",2
0.507042253521127,"MAGMAclust",2
0.732394366197183,"MAGMAclust",2
0.565217391304348,"MAGMAclust",2
0.516539440203562,"MAGMAclust",2
0.0364025695931477,"MAGMAclust",2
0.516539440203562,"MAGMAclust",2
0.153609831029186,"MAGMAclust",2
0.471406491499227,"MAGMAclust",2
0.0458134104303347,"MAGMAclust",2
0.551130610867364,"MAGMAclust",2
0.282370464943079,"MAGMAclust",2
0.383445047345462,"MAGMAclust",2
0.565217391304348,"MAGMAclust",2
0.27061310782241,"MAGMAclust",2
0.573656456860765,"MAGMAclust",2
0.661921708185053,"MAGMAclust",2
0.516539440203562,"MAGMAclust",2
0.630103459784181,"MAGMAclust",2
0.249423899923187,"MAGMAclust",2
0.205812101910828,"MAGMAclust",2
0.787210213909732,"MAGMAclust",2
0.545164379189275,"MAGMAclust",2
0.40251572327044,"MAGMAclust",2
0.585560039262733,"MAGMAclust",2
0.471819470184236,"MAGMAclust",2
0.775716694772344,"MAGMAclust",2
0.017071908949819,"MAGMAclust",2
0.894079607537072,"MAGMAclust",2
0.545164379189275,"MAGMAclust",2
0.333138344545189,"MAGMAclust",2
0.442785539084995,"MAGMAclust",2
0.380132748340646,"MAGMAclust",2
0.775716694772344,"MAGMAclust",2
0.619492656875834,"MAGMAclust",2
0.40251572327044,"MAGMAclust",2
0.613995485327314,"MAGMAclust",2
0.506493506493506,"MAGMAclust",2
0.743243243243243,"MAGMAclust",2
0.482144843697853,"MAGMAclust",2
0.0252916167011882,"MAGMAclust",2
0.585560039262733,"MAGMAclust",2
0.619492656875834,"MAGMAclust",2
0.70102281667978,"MAGMAclust",2
0.593321917808219,"MAGMAclust",2
0.679379007762403,"MAGMAclust",2
0.425634824667473,"MAGMAclust",2
0.454079014879425,"MAGMAclust",2
0.661921708185053,"MAGMAclust",2
0.151138716356108,"MAGMAclust",2
0.565217391304348,"MAGMAclust",2
0.165833055462932,"MAGMAclust",2
0.197363974315647,"MAGMAclust",2
0.679379007762403,"MAGMAclust",2
0.333138344545189,"MAGMAclust",2
0.3783400588941,"MAGMAclust",2
0.670618499049323,"MAGMAclust",2
0.3783400588941,"MAGMAclust",2
0.648345485137409,"MAGMAclust",2
0.565217391304348,"MAGMAclust",2
0.545164379189275,"MAGMAclust",2
0.630103459784181,"MAGMAclust",2
0.40251572327044,"MAGMAclust",2
0.21118758876871,"MAGMAclust",2
0.471819470184236,"MAGMAclust",2
0.630103459784181,"MAGMAclust",2
0.40251572327044,"MAGMAclust",2
0.397731064397731,"MAGMAclust",2
0.261408450704225,"MAGMAclust",2
0.593321917808219,"MAGMAclust",2
0.539822011940971,"MAGMAclust",2
0.394904458598726,"MAGMAclust",2
0.530600786075239,"MAGMAclust",2
0.454079014879425,"MAGMAclust",2
0.679379007762403,"MAGMAclust",2
0.315576902084925,"MAGMAclust",2
0.895016023870041,"MAGMAclust",2
0.451213107866821,"MAGMAclust",2
1,"MAGMAclust",3
0.343065693430657,"MAGMAclust",3
0.336120976056822,"MAGMAclust",3
0.237371866123256,"MAGMAclust",3
0.474940334128878,"MAGMAclust",3
1,"MAGMAclust",3
