"RI","Method","K"
0.599592198857534,"MAGMAclust",2
0.632463246324632,"MAGMAclust",2
0.660995067695058,"MAGMAclust",2
0.724196712875109,"MAGMAclust",2
0.285580913743497,"MAGMAclust",2
0.597020536679355,"MAGMAclust",2
0.499165008003876,"MAGMAclust",2
0.657802111849824,"MAGMAclust",2
0.59233970581902,"MAGMAclust",2
0.613406128696311,"MAGMAclust",2
0.578136368697291,"MAGMAclust",2
0.718084539789039,"MAGMAclust",2
0.468640943236263,"MAGMAclust",2
0.486935790457167,"MAGMAclust",2
0.599592198857534,"MAGMAclust",2
0.524633821571238,"MAGMAclust",2
0.59233970581902,"MAGMAclust",2
0.635235732009925,"MAGMAclust",2
0.456940199258032,"MAGMAclust",2
0.559854636540021,"MAGMAclust",2
0.632463246324632,"MAGMAclust",2
0.737394957983193,"MAGMAclust",2
0.114316442082622,"MAGMAclust",2
0.547914872678066,"MAGMAclust",2
0.635235732009925,"MAGMAclust",2
0.524633821571238,"MAGMAclust",2
0.724196712875109,"MAGMAclust",2
0.636844891476972,"MAGMAclust",2
0.48812082139446,"MAGMAclust",2
0.635235732009925,"MAGMAclust",2
0.47719357405173,"MAGMAclust",2
0.604827871732149,"MAGMAclust",2
0.604827871732149,"MAGMAclust",2
0.604827871732149,"MAGMAclust",2
0.547914872678066,"MAGMAclust",2
0.309441289460498,"MAGMAclust",2
0.641673008834916,"MAGMAclust",2
0.503456696856031,"MAGMAclust",2
0.559854636540021,"MAGMAclust",2
0.661054827175209,"MAGMAclust",2
0.502055011065444,"MAGMAclust",2
0.753768844221106,"MAGMAclust",2
0.559854636540021,"MAGMAclust",2
0.533333333333333,"MAGMAclust",2
0.677320221266134,"MAGMAclust",2
0.546424759871932,"MAGMAclust",2
0.439457707922083,"MAGMAclust",2
0.501263153499248,"MAGMAclust",2
0.441434433924309,"MAGMAclust",2
0.533333333333333,"MAGMAclust",2
0.649722001588562,"MAGMAclust",2
0.590780023383999,"MAGMAclust",2
0.613406128696311,"MAGMAclust",2
0.568965517241379,"MAGMAclust",2
0.597020536679355,"MAGMAclust",2
0.661054827175209,"MAGMAclust",2
0.458236282690096,"MAGMAclust",2
0.503456696856031,"MAGMAclust",2
0.524633821571238,"MAGMAclust",2
0.496024976706094,"MAGMAclust",2
0.568364611260054,"MAGMAclust",2
0.641673008834916,"MAGMAclust",2
0.616580351765006,"MAGMAclust",2
0.366110647507084,"MAGMAclust",2
0.537327686063682,"MAGMAclust",2
